artist,image_url
John Waters,https://lastfm.freetls.fastly.net/i/u/avatar170s/e33297ae5c49777fcffd2fad0f923d1d
Sekou Andrews (& The String Theory),
Dave Chappelle,https://lastfm.freetls.fastly.net/i/u/avatar170s/d94bfb1ff7d84ddd86d13f6e2a5b8320
Jim Gaffigan,https://lastfm.freetls.fastly.net/i/u/avatar170s/bcc674150e5044ceae5993954b5ab08b
Ellen DeGeneres,https://lastfm.freetls.fastly.net/i/u/avatar170s/4627543305a44045a08e66eecaa1c75c
Aziz Ansari,https://lastfm.freetls.fastly.net/i/u/avatar170s/f47d7c1a079341638215ba1961940b21
Trevor Noah,https://lastfm.freetls.fastly.net/i/u/avatar170s/72e1212a79a6cc81042f7e53dfe51c92
Lady Gaga & Bradley Cooper,https://lastfm.freetls.fastly.net/i/u/avatar170s/bb629bfd5925250397205dfc1200320c
Taron Egerton,https://lastfm.freetls.fastly.net/i/u/avatar170s/ec86e39f99d4d5d0713e341323feb712
The Carters,https://lastfm.freetls.fastly.net/i/u/avatar170s/a0feb825571c874851d21bc4906ba9f4
Lil Nas X & Billy Ray Cyrus,https://lastfm.freetls.fastly.net/i/u/avatar170s/bcd9fe0a26a61560e88d08f3568ec47c
FKA twigs,https://lastfm.freetls.fastly.net/i/u/avatar170s/dff82f6c0f787f5da015cf88cc64cc48
Tove Lo,https://lastfm.freetls.fastly.net/i/u/avatar170s/4474b3674c59ba1628675def2e13d57a
David Crosby,https://lastfm.freetls.fastly.net/i/u/avatar170s/1f3748a98859417dabd0e6db17c1bfe1
(Miles Davis),https://lastfm.freetls.fastly.net/i/u/avatar170s/3065f604498e4b2e8e1ec45ca4e8bc4d
Childish Gambino,https://lastfm.freetls.fastly.net/i/u/avatar170s/0cec2b4122ae7eafc293c93986e9ab9b
Kacey Musgraves,https://lastfm.freetls.fastly.net/i/u/avatar170s/d274bee28abcb97f27701ec4470c0e02
Silk City & Dua Lipa Featuring Diplo & Mark Ronson,
Justice,https://lastfm.freetls.fastly.net/i/u/avatar170s/3f6248c361c64e47ce893406a1a853dd
Steve Gadd Band,https://lastfm.freetls.fastly.net/i/u/avatar170s/1b7b0f3b57dbf21d2022c35de3f45c0b
Chris Cornell,https://lastfm.freetls.fastly.net/i/u/avatar170s/45f747e714cd4a889e9240909e3a67ac
High On Fire,https://lastfm.freetls.fastly.net/i/u/avatar170s/b866f42d30ea48289cbd52aad0f63f6d
Greta Van Fleet,https://lastfm.freetls.fastly.net/i/u/avatar170s/1d6aba137781305569e0f0306df7c91e
Beck,https://lastfm.freetls.fastly.net/i/u/avatar170s/b4a54b41283f49389f050d743ef2d555
H.E.R. Featuring Daniel Caesar,
Leon Bridges,https://lastfm.freetls.fastly.net/i/u/avatar170s/3e7b59eb15ffa8c48700c1888e7c1b10
PJ Morton Featuring Yebba,
"Kendrick Lamar, Jay Rock, Future & James Blake",https://lastfm.freetls.fastly.net/i/u/avatar170s/43532d6e44cd03ff727104002f94f0c2
Cardi B,https://lastfm.freetls.fastly.net/i/u/avatar170s/00a101408aa0649460643146ff88a81c
Opium Moon,https://lastfm.freetls.fastly.net/i/u/avatar170s/dd5f88fcab2de63be32b90d17d592678
Cécile McLorin Salvant,https://lastfm.freetls.fastly.net/i/u/avatar170s/88922a102df24681a36170fda8f1ee2d
The Wayne Shorter Quartet,https://lastfm.freetls.fastly.net/i/u/avatar170s/a8c4a22810304e508c5416ab64be63f8
John Daversa Big Band Featuring DACA Artists,
Dafnis Prieto Big Band,
Tori Kelly,https://lastfm.freetls.fastly.net/i/u/avatar170s/44af5d3301347a339299e898031eb104
Lauren Daigle,https://lastfm.freetls.fastly.net/i/u/avatar170s/d28a8e1f278ff6201e4843d38de8e54e
Jason Crabb,https://lastfm.freetls.fastly.net/i/u/avatar170s/ee97ee3cd71ecbb4cf3b8623a3fe67e9
Claudia Brant,https://lastfm.freetls.fastly.net/i/u/avatar170s/9f3487e862b240eab356ef6d890b94ed
Zoé,https://lastfm.freetls.fastly.net/i/u/avatar170s/5ec215f2f1b94a10af304fe6d6a7b6dc
Luis Miguel,https://lastfm.freetls.fastly.net/i/u/avatar170s/39576dc043c5e22207f722a11ce48f44
Spanish Harlem Orchestra,https://lastfm.freetls.fastly.net/i/u/avatar170s/f13d6b492c0d45469cb6602a478bef78
Brandi Carlile,https://lastfm.freetls.fastly.net/i/u/avatar170s/47839d8f2dc407ba166e62be3650028b
The Travelin' McCourys,https://lastfm.freetls.fastly.net/i/u/avatar170s/fd8a185c9d774db5b44fec4e8bcf31b2
Buddy Guy,https://lastfm.freetls.fastly.net/i/u/avatar170s/31ed938af2651f45d3b765f9ccde3370
Fantastic Negrito,https://lastfm.freetls.fastly.net/i/u/avatar170s/12fe5ca6c2bb9754c9a3d1354bc6ae13
Punch Brothers,https://lastfm.freetls.fastly.net/i/u/avatar170s/19f197310aed4ecda3ca16f3ad7b1ebb
Kalani Pe'a,https://lastfm.freetls.fastly.net/i/u/avatar170s/fa8e862f77a2d91c3361a87988323fee
Sting & Shaggy,https://lastfm.freetls.fastly.net/i/u/avatar170s/89d49469bca08b392f52074527193067
Soweto Gospel Choir,https://lastfm.freetls.fastly.net/i/u/avatar170s/fe21dccef50f4616b6322e029a9a0aff
Lucy Kalantari & The Jazz Cats,https://lastfm.freetls.fastly.net/i/u/avatar170s/3fd9e0ffd5339f31f8877b45efe627aa
Jimmy Carter,https://lastfm.freetls.fastly.net/i/u/avatar170s/a290dbefbf8a43b4b7695f2739572e12
Hugh Jackman (& Various Artists),
Quincy Jones,https://lastfm.freetls.fastly.net/i/u/avatar170s/0083f98507cc4accb883fbf3eb64ad0a
Bruno Mars,https://lastfm.freetls.fastly.net/i/u/avatar170s/b1d8fab5d3af50adfb74e5c40a9ead0e
Bill Frisell,https://lastfm.freetls.fastly.net/i/u/avatar170s/0f51146a838148b5ae71945e0510b52d
Portugal. The Man,https://lastfm.freetls.fastly.net/i/u/avatar170s/8af6d0a32e144074b069a764166b32e9
LCD Soundsystem,https://lastfm.freetls.fastly.net/i/u/avatar170s/44df51a357cd90aaa1402e6c4a5a38b9
